run 454: 0.000566 sec, result=1000000.000000
run 455: 0.000574 sec, result=1000000.000000
run 456: 0.000585 sec, result=1000000.000000
run 457: 0.000565 sec, result=1000000.000000
run 458: 0.000565 sec, result=1000000.000000
run 459: 0.000565 sec, result=1000000.000000
run 460: 0.000558 sec, result=1000000.000000
run 461: 0.000576 sec, result=1000000.000000
run 462: 0.000878 sec, result=1000000.000000
run 463: 0.001328 sec, result=1000000.000000
run 464: 0.000818 sec, result=1000000.000000
run 465: 0.000640 sec, result=1000000.000000
run 466: 0.000640 sec, result=1000000.000000
run 467: 0.000636 sec, result=1000000.000000
run 468: 0.000599 sec, result=1000000.000000
run 469: 0.000655 sec, result=1000000.000000
run 470: 0.000683 sec, result=1000000.000000
run 471: 0.000956 sec, result=1000000.000000
run 472: 0.001271 sec, result=1000000.000000
run 473: 0.001260 sec, result=1000000.000000
run 474: 0.000883 sec, result=1000000.000000
run 475: 0.000633 sec, result=1000000.000000
run 476: 0.000638 sec, result=1000000.000000
run 477: 0.000681 sec, result=1000000.000000
run 478: 0.000972 sec, result=1000000.000000
run 479: 0.001208 sec, result=1000000.000000
run 480: 0.000957 sec, result=1000000.000000
run 481: 0.001478 sec, result=1000000.000000
run 482: 0.001755 sec, result=1000000.000000
run 483: 0.001760 sec, result=1000000.000000
run 484: 0.001468 sec, result=1000000.000000
run 485: 0.000972 sec, result=1000000.000000
run 486: 0.001201 sec, result=1000000.000000
run 487: 0.001625 sec, result=1000000.000000
run 488: 0.001432 sec, result=1000000.000000
run 489: 0.001296 sec, result=1000000.000000
run 490: 0.001120 sec, result=1000000.000000
run 491: 0.001138 sec, result=1000000.000000
run 492: 0.001024 sec, result=1000000.000000
run 493: 0.000753 sec, result=1000000.000000
run 494: 0.001355 sec, result=1000000.000000
run 495: 0.001064 sec, result=1000000.000000
run 496: 0.001261 sec, result=1000000.000000
run 497: 0.001328 sec, result=1000000.000000
run 498: 0.001578 sec, result=1000000.000000
run 499: 0.001314 sec, result=1000000.000000
run 500: 0.001197 sec, result=1000000.000000
run 501: 0.001360 sec, result=1000000.000000
run 502: 0.001250 sec, result=1000000.000000
run 503: 0.001312 sec, result=1000000.000000
run 504: 0.001209 sec, result=1000000.000000
run 505: 0.001143 sec, result=1000000.000000
run 506: 0.001336 sec, result=1000000.000000
run 507: 0.001901 sec, result=1000000.000000
run 508: 0.001791 sec, result=1000000.000000
run 509: 0.001713 sec, result=1000000.000000
run 510: 0.001638 sec, result=1000000.000000
